"MONTH","PLANET","PX","PY","PZ","VX","VY","VZ"
"APRIL","SUN","-6.806783239281648E+08","1.080005533878725E+09","6.564012751690170E+06","-1.420511660519414E1","-4.954714684919104E0","3.99423759988592E-1"
"*","MERCURY","6.047855986424127E+06","-6.801800047868888E+10","-5.702742359714534E+09","3.892585164132107E4","2.978342227951605E3","-3.32796413011577E3"
"*","VENUS","-9.435345478592035E+10","5.350359551033670E+10","6.131453014410347E+09","-1.726404276675418E4","-3.073432498568155E4","5.741783348533565E2"
"*","EARTH","-1.471922101663588E+11","-2.860995816266412E+10","8.278183193596080E+06","5.427193371063864E3","-2.931056603506259E4","6.575428116074852E-1"
"*","MOON","-1.472343904597218E+11","-2.822578361503422E+10","1.052790970065631E+07","4.433121575882713E+03","-2.948453616031408E+04","8.896594867343843E+01"
"*","MARS","-3.615638921529161E+10","-2.167633037046744E+11","-3.687670305939779E+09","2.481551959239763E4","-1.816367993839315E3","-6.467321577627249E2"
"*","JUPITER","1.781303138592156E+11","-7.551118436250294E+11","-8.532838524470329E+08","1.255852546626294E4","3.622680182938116E3","-2.958620385189845E2"
"*","SATURN","6.328646641500651E+11","-1.358172804527507E+12","-1.578520137930810E+09","8.2208421339415E3","4.052137353045929E3","-3.976224693819078E2"
"*","TITAN","6.332873118527889E+11","-1.357175556995868E+12","-2.134637041453660E+09","3.05687794615761E3","6.125612917224867E3","-9.523587319894634E2"
"*","URANUS","2.395195786685187E+12","1.744450959214586E+12","-2.455116324031639E+10","-4.059468609332644E3","5.187467321685034E3","7.182516190869795E1"
"*","NEPTUNE","4.382692942729203E+12","-9.093501655486243E+11","-8.227728929479486E+10","1.05198951225787E3","5.358319815712676E3","-1.344948707739122E2"
"MAY","SUN","-7.174349612854803E+08","1.066411029396080E+09","7.601665478161070E+06","-1.414728551082128E1","-5.544797760001062E0","4.009183494162074E-1"
"*","MERCURY","4.512315299971084E+10","1.993936319537603E+10","-2.655347461282810E+09","-2.803099850688094E4","4.720084943577614E4","6.427957566214065E3"
"*","VENUS","-1.024150553028563E+11","-3.467328449283230E+10","5.385828723686717E+09","1.136190694230567E4","-3.320428773832004E4","-1.111624620502269E3"
"*","EARTH","-1.147993804735645E+11","-9.745259392038666E+10","1.214839578706026E+07","1.897797909964809E4","-2.265451799653015E4","6.1045563672231E-1"
"*","MOON","-1.150535471510494E+11","-9.717590497526063E+10","3.499589240500331E+07","1.825606570714980E+04","-2.340105221349403E+04","6.555585859509350E+01"
"*","MARS","2.874384781068501E+10","-2.122100761526098E+11","-5.184088517922238E+09","2.490308834997505E4","5.393291944679392E3","-4.977765555365568E2"
"*","JUPITER","2.104959566728235E+11","-7.450067574465599E+11","-1.619235220147371E+09","1.241410152263551E4","4.175507873370753E3","-2.949445071783915E2"
"*","SATURN","6.540846554659929E+11","-1.347488441085896E+12","-2.609278379854560E+09","8.154166461907913E3","4.190113871691798E3","-3.97010507971233E2"
"*","TITAN","6.551566156623446E+11","-1.347070375520897E+12","-2.931496271949112E+09","5.781932764458556E3","8.886557827273595E3","-2.581709663585122E3"
"*","URANUS","2.384633228282952E+12","1.757866763733971E+12","-2.436444012514663E+10","-4.090656888268675E3","5.164228425080445E3","7.240871343532282E1"
"*","NEPTUNE","4.385439843779228E+12","-8.954674960943524E+11","-8.262646265964413E+10","1.05198951225787E3","5.358319815712676E3","-1.344948707739122E2"
"JUNE","SUN","-7.551930378359107E+08","1.050698175400754E+09","8.678822746303806E+06","-1.403999527847322E1","-6.200795798917962E0","4.032009123033103E-1"
"*","MERCURY","-5.982446446463548E+10","-9.356665233930284E+09","4.576906596869105E+09","-1.686933349183306E3","-4.588688790176085E4","-3.595263142900004E3"
"*","VENUS","-3.970506790626401E+10","-1.002582849591454E+11","8.661709419792593E+08","3.24358634151947E4","-1.272452229103952E4","-2.046714135145936E3"
"*","EARTH","-5.090344138819925E+10","-1.421208588831371E+11","1.502222254326940E+07","2.761277863065086E4","-9.953139812221581E3","9.696940310558394E-1"
"*","MOON","-1.150535471510494E+11","-9.717590497526063E+10","3.499589240500331E+07","2.773708144004811E+04","-1.101400559713819E+04","-1.220671046126309E+01"
"*","MARS","9.292863773354495E+10","-1.876883272843097E+11","-6.244428598046154E+09","2.260573268785007E4","1.284657941562363E4","-2.852031761715881E2"
"*","JUPITER","2.435154714346147E+11","-7.330664842836968E+11","-2.407431197883308E+09","1.223768423348433E4","4.739531284098344E3","-2.935037992244978E2"
"*","SATURN","6.758290620273696E+11","-1.336071751453611E+12","-3.673661628258228E+09","8.083033716979637E3","4.332286702270898E3","-3.965797898363148E2"
"*","TITAN","6.770093183582249E+11","-1.336034682351726E+12","-3.810278009130239E+09","7.677511903334012E3","9.425323618236007E3","-2.981530735684696E3"
"*","URANUS","2.373632665375394E+12","1.771666359683437E+12","-2.417068945276797E+10","-4.123471461358462E3","5.140076249342576E3","7.23352450887228E1"
"*","NEPTUNE","4.388232537181784E+12","-8.811127389759285E+11","-8.298648792148232E+10","1.034270776378929E3","5.360728672298431E3","-1.349377273520409E2"
"JULY","SUN","-7.913499200720961E+08","1.033743278395483E+09","9.720699156379851E+06","-1.383841350511797E1","-6.881689316993782E0","3.996922200314293E-1"
"*","MERCURY","1.003704225543871E+10","-6.633566864795568E+10","-6.488655432988815E+09","3.831204281270468E4","1.022109022954353E4","-2.679577518748077E3"
"*","VENUS","4.774355236536540E+10","-9.638286309462041E+10","-4.127858710600249E+09","3.109647057253322E4","1.549071646248264E4","-1.58220849226484E3"
"*","EARTH","2.392509768877035E+10","-1.490366699905488E+11","1.634046107826382E+07","2.888496598253367E4","4.731177897416665E3","9.544504048010971E-1"
"*","MOON","2.366305817132382E+10","-1.492958883018424E+11","4.005213694403321E+07","2.962261496449453E+04","3.968675631520009E+03","-6.854733491559251E+01"
"*","MARS","1.460811698579552E+11","-1.458756293308501E+11","-6.671725376450397E+09","1.804129590742935E4","1.919903722618035E4","-4.008226489927033E1"
"*","JUPITER","2.749929349887401E+11","-7.200750873384960E+11","-3.165491082775772E+09","1.204362636880554E4","5.281460076682612E3","-2.914397391452662E2"
"*","SATURN","6.966890063192567E+11","-1.324661790151317E+12","-4.702765850476563E+09","8.01141734152169E3","4.469286897065113E3","-3.96228027171238E2"
"*","TITAN","6.975897170425217E+11","-1.325386086759348E+12","-4.419088646763861E+09","1.166265031486606E4","8.223560728738945E3","-2.695021936076836E3"
"*","URANUS","2.362904037646055E+12","1.784958976766510E+12","-2.398232283230853E+10","-4.154748862314906E3","5.116488584763766E3","7.266901238024566E1"
"*","NEPTUNE","4.390890666211944E+12","-8.672121748536059E+11","-8.333403542215383E+10","1.016916266987438E3","5.363832459809669E3","-1.344436168373239E2"
"AUGUST","SUN","-8.279976747778717E+08","1.014406419091713E+09","1.078051851322094E+07","-1.350871823226296E1","-7.541593802104506E0","3.913696971834341E-1"
"*","MERCURY","3.233900062244287E+10","3.464345819127123E+10","-2.836887761113457E+08","-4.432789342785929E4","3.624810262945935E4","7.028079490481047E3"
"*","VENUS","1.043654316877894E+11","-2.607607787432581E+10","-6.431301279434789E+09","8.541505527239146E3","3.37497452869308E4","-3.004053931982496E1"
